ThLewis Bristol Tech's Custom Universe v1.0
SEC,East,West,,,,,,,,,,,
ACC,Atlantic,Coastal,,,,,,,,,,,
Big Ten,East,West,,,,,,,,,,,
Big 12,Sheriff,Outlaw,,,,,,,,,,,
Pac 12,North,South,,,,,,,,,,,
AAC,East,West,,,,,,,,,,,
# Team format:,Conference,Division,Name,Abbr,Prestige,Rival,,,,,,,
# SEC,,,,,,,,,,,,,
TEAM,SEC,West,Alabama,ALA,95,TEN,,,,,,,
TEAM,SEC,West,Texas A&M,TAMU,85,SCAR,,,,,,,
TEAM,SEC,West,LSU,LSU,85,UF,,,,,,,
TEAM,SEC,West,Auburn,AUB,85,UGA,,,,,,,
TEAM,SEC,West,Mississippi St,MSST,75,UK,,,,,,,
TEAM,SEC,West,Ole Miss,MISS,75,VAN,,,,,,,
TEAM,SEC,West,Arkansas,ARK,70,MIZ,,,,,,,
TEAM,SEC,East,Georgia,UGA,90,AUB,,,,,,,
TEAM,SEC,East,Florida,UF,90,LSU,,,,,,,
TEAM,SEC,East,Tennessee,TEN,80,ALA,,,,,,,
TEAM,SEC,East,South Carolina,SCAR,75,TAMU,,,,,,,
TEAM,SEC,East,Missouri,MIZ,75,ARK,,,,,,,
TEAM,SEC,East,Kentucky,UK,70,MSST,,,,,,,
TEAM,SEC,East,Vanderbilt,VAN,60,MISS,,,,,,,
# ACC,,,,,,,,,,,,,
TEAM,ACC,Atlantic,Clemson,CLEM,95,GT,,,,,,,
TEAM,ACC,Atlantic,Florida St,FSU,90,UM,,,,,,,
TEAM,ACC,Atlantic,Louisville,LOU,80,UVA,,,,,,,
TEAM,ACC,Atlantic,NC State,NCST,80,UNC,,,,,,,
TEAM,ACC,Atlantic,Syracuse,SYR,75,PITT,,,,,,,
TEAM,ACC,Atlantic,Boston College,BC,70,VT,,,,,,,
TEAM,ACC,Atlantic,Wake Forest,WF,60,DUKE,,,,,,,
TEAM,ACC,Coastal,Miami,UM,90,FSU,,,,,,,
TEAM,ACC,Coastal,Virginia Tech,VT,85,BC,,,,,,,
TEAM,ACC,Coastal,UNC,UNC,80,NCST,,,,,,,
TEAM,ACC,Coastal,Pittsburgh,PITT,75,SYR,,,,,,,
TEAM,ACC,Coastal,Georgia Tech,GT,75,CLEM,,,,,,,
TEAM,ACC,Coastal,Duke,DUKE,65,WF,,,,,,,
TEAM,ACC,Coastal,Virginia,UVA,60,LOU,,,,,,,
# B10,,,,,,,,,,,,,
TEAM,Big Ten,West,Wisconsin,WIS,90,OSU,,,,,,,
TEAM,Big Ten,West,Nebraska,NEB,85,MICH,,,,,,,
TEAM,Big Ten,West,Iowa,IOWA,80,PSU,,,,,,,
TEAM,Big Ten,West,Northwestern,NW,75,MSU,,,,,,,
TEAM,Big Ten,West,Purdue,PUR,70,MD,,,,,,,
TEAM,Big Ten,West,Minnesota,MINN,65,IND,,,,,,,
TEAM,Big Ten,West,Illinois,ILL,60,RUT,,,,,,,
TEAM,Big Ten,East,Ohio State,OSU,95,WIS,,,,,,,
TEAM,Big Ten,East,Michigan,MICH,90,NEB,,,,,,,
TEAM,Big Ten,East,Penn State,PSU,85,IOWA,,,,,,,
TEAM,Big Ten,East,Michigan St,MSU,85,NW,,,,,,,
TEAM,Big Ten,East,Maryland,MD,75,PUR,,,,,,,
TEAM,Big Ten,East,Indiana,IND,65,MINN,,,,,,,
TEAM,Big Ten,East,Rutgers,RUT,55,ILL,,,,,,,
# Big12,,,,,,,,,,,,,
TEAM,Big 12,Sheriff,Texas,TEX,90,OKL,,,,,,,
TEAM,Big 12,Sheriff,TCU,TCU,80,OKST,,,,,,,
TEAM,Big 12,Sheriff,Boise State,BSU,80,KSU,,,,,,,
TEAM,Big 12,Sheriff,Texas Tech,TTU,75,WVU,,,,,,,
TEAM,Big 12,Sheriff,Baylor,BAY,70,ARMY,,,,,,,
TEAM,Big 12,Sheriff,Colorado St,CSU,60,WYO,,,,,,,
TEAM,Big 12,Sheriff,Rice,RICE,50,KU,,,,,,,
TEAM,Big 12,Outlaw,Oklahoma,OKL,95,TEX,,,,,,,
TEAM,Big 12,Outlaw,Oklahoma St,OKST,85,TCU,,,,,,,
TEAM,Big 12,Outlaw,Kansas St,KSU,80,BSU,,,,,,,
TEAM,Big 12,Outlaw,West Virginia,WVU,80,TTU,,,,,,,
TEAM,Big 12,Outlaw,Army,ARMY,70,BAY,,,,,,,
TEAM,Big 12,Outlaw,Wyoming,WYO,60,CSU,,,,,,,
TEAM,Big 12,Outlaw,Kansas,KU,50,RICE,,,,,,,
# Pac 12,,,,,,,,,,,,,
TEAM,Pac 12,North,Oregon,ORE,90,UTAH,,,,,,,
TEAM,Pac 12,North,Notre Dame,ND,90,USC,,,,,,,
TEAM,Pac 12,North,Washington,WASH,85,ARIZ,,,,,,,
TEAM,Pac 12,North,Stanford,STAN,85,BYU,,,,,,,
TEAM,Pac 12,North,Washington St,WSU,75,ASU,,,,,,,
TEAM,Pac 12,North,California,CAL,70,UCLA,,,,,,,
TEAM,Pac 12,North,Oregon St,ORST,60,COLO,,,,,,,
TEAM,Pac 12,South,USC,USC,90,ND,,,,,,,
TEAM,Pac 12,South,UCLA,UCLA,85,CAL,,,,,,,
TEAM,Pac 12,South,Utah,UTAH,75,ORE,,,,,,,
TEAM,Pac 12,South,BYU,BYU,75,STAN,,,,,,,
TEAM,Pac 12,South,Arizona,ARIZ,75,WASH,,,,,,,
TEAM,Pac 12,South,Arizona St,ASU,70,WSU,,,,,,,
TEAM,Pac 12,South,Colorado,COLO,65,ORST,,,,,,,
# AAC,,,,,,,,,,,,,
TEAM,AAC,West,Houston,HOU,80,BRTH,,,,,,,
TEAM,AAC,West,Memphis,MEM,75,CIN,,,,,,,
TEAM,AAC,West,SMU,SMU,70,USF,,,,,,,
TEAM,AAC,West,Bristol Tech,BRTH,70,HOU,,,,,,,
TEAM,AAC,West,Navy,NAVY,70,TEM,,,,,,,
TEAM,AAC,West,Tulane,TULN,60,ECU,,,,,,,
TEAM,AAC,West,Tulsa,TLSA,55,CONN,,,,,,,
TEAM,AAC,East,UCF,UCF,80,TROY,,,,,,,
TEAM,AAC,East,Cincinnati,CIN,75,MEM,,,,,,,
TEAM,AAC,East,South Florida,USF,75,SMU,,,,,,,
TEAM,AAC,East,Troy,TROY,70,UCF,,,,,,,
TEAM,AAC,East,Temple,TEM,70,NAVY,,,,,,,
TEAM,AAC,East,East Carolina,ECU,65,TULN,,,,,,,
TEAM,AAC,East,Connecticut,CONN,55,TLSA,,,,,,,
PLAYER,BRTH,QB,Thaddeus Lewis Jr.,Fr,77,200,125,100,110,100,100,100,100
PLAYER,BRTH,RB,Jason Kennedy,Fr,74,200,125,100,110,100,100,100,100
PLAYER,BRTH,RB,Raymond Young,Fr,70,200,125,100,110,100,100,100,100
PLAYER,BRTH,WR,Eric Reeves,Fr,71,200,125,100,110,100,100,100,100
PLAYER,BRTH,WR,Trevor Powers,Fr,73,200,125,100,110,100,100,100,100
PLAYER,BRTH,WR,George Neal,Fr,70,200,125,100,110,100,100,100,100
PLAYER,BRTH,WR,Ashley King,Fr,68,200,125,100,110,100,100,100,100
PLAYER,BRTH,WR,Bruce Larson,Fr,70,200,125,100,110,100,100,100,100
PLAYER,BRTH,TE,Randall Alexander,Fr,70,200,125,100,110,100,100,100,100
PLAYER,BRTH,TE,Eric Nicholson,Fr,70,200,125,100,110,100,100,100,100
PLAYER,BRTH,OL,Matt Thorne,Fr,79,200,125,100,110,100,100,100,100
PLAYER,BRTH,OL,Jaron Wall,Fr,74,200,125,100,110,100,100,100,100
PLAYER,BRTH,OL,Daniel Kahler,Fr,72,200,125,100,110,100,100,100,100
PLAYER,BRTH,OL,Gary Nichols,Fr,73,200,125,100,110,100,100,100,100
PLAYER,BRTH,OL,Brock Widmer,Fr,79,200,125,100,110,100,100,100,100
PLAYER,BRTH,DL,B.J. Stevenson,Fr,76,200,125,100,110,100,100,100,100
PLAYER,BRTH,DL,Ray Cameron,Fr,72,200,125,100,110,100,100,100,100
PLAYER,BRTH,DL,Sherman Sharp,Fr,71,200,125,100,110,100,100,100,100
PLAYER,BRTH,DL,Hayden Lanning,Fr,77,200,125,100,110,100,100,100,100
PLAYER,BRTH,LB,Bryson Reed,Fr,74,200,125,100,110,100,100,100,100
PLAYER,BRTH,LB,Spencer Summers,Fr,75,200,125,100,110,100,100,100,100
PLAYER,BRTH,LB,Shaun Crawford,Fr,76,200,125,100,110,100,100,100,100
PLAYER,BRTH,LB,Rashaud Knighton,Fr,73,200,125,100,110,100,100,100,100
PLAYER,BRTH,CB,Cedric Johnson,Fr,72,200,125,100,110,100,100,100,100
PLAYER,BRTH,CB,Carlos Diggs,Fr,73,200,125,100,110,100,100,100,100
PLAYER,BRTH,CB,Lawrence Butler,Fr,72,200,125,100,110,100,100,100,100
PLAYER,BRTH,CB,Griffin McIntosh,Fr,75,200,125,100,110,100,100,100,100
PLAYER,BRTH,CB,Shawn Rayne,Fr,71,200,125,100,110,100,100,100,100
PLAYER,BRTH,S,Kenny Rodgers,Fr,75,200,125,100,110,100,100,100,100
PLAYER,BRTH,S,Marcus Griffith,Fr,76,200,125,100,110,100,100,100,100
PLAYER,BRTH,K,Nick Miller,Fr,71,200,125,100,110,100,100,100,100
END_FILE,,,,,,,,,,,,,
